W/L,winner,method,Round,Date,Fighter,Opponent,f_SLpM,f_SApM,f_TD_pct,f_W_pct,f_KO_pct,f_Sub_pct,f_Finish_pct,f_ctrl,o_SLpM,o_SApM,o_TD_pct,o_W_pct,o_KO_pct,o_Sub_pct,o_Finish_pct,o_ctrl,f_ELO,o_ELO,f_survivor_score,o_survivor_score
win,Mickey Gall,SUB,1,2021-07-24,Mickey Gall,Jordan Williams,2.553,3.645,0.625,0.4,0.0,0.8,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Mike Perry,DEC,3,2020-06-27,Mickey Gall,Mike Perry,2.219,3.219,0.714,0.6,0.0,0.8,1.0,51.429,3.0,5.2,1.0,0.0,0.0,0.0,1.0,0.0,992.0,1000.0,150.0,1000.0
win,Mickey Gall,DEC,3,2019-08-03,Mickey Gall,Salim Touahri,1.742,3.227,0.667,0.6,0.0,1.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,160.0,1000.0
loss,Diego Sanchez,KO/TKO,2,2019-03-02,Mickey Gall,Diego Sanchez,1.473,2.209,0.8,0.8,0.0,1.0,1.0,0.0,4.549,3.06,2.0,1.0,0.333,0.0,1.0,166.667,992.0,1000.0,880.0,1000.0
win,Mickey Gall,SUB,1,2018-08-25,Mickey Gall,George Sullivan,1.542,2.312,0.75,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,1100.0,1000.0
loss,Randy Brown,DEC,3,2017-11-04,Mickey Gall,Randy Brown,3.212,1.658,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,1000.0,1050.0,1000.0
win,Mickey Gall,SUB,2,2016-12-17,Mickey Gall,Sage Northcutt,7.374,1.006,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,40.0,1000.0
win,Mickey Gall,SUB,1,2016-09-10,Mickey Gall,CM Punk,2.667,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163.7897106008002,976.0,1120.0,760.0
win,Mickey Gall,SUB,1,2016-02-06,Mickey Gall,Mike Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,1000.0,140.0,1000.0
loss,James Krause,DEC,3,2017-07-07,Tom Gallicchio,James Krause,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Turrell Galloway,SUB,1,2008-10-03,Turrell Galloway,Brett Tillis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1176.9349903428563,1000.0,1220.0,1000.0
loss,Damacio Page,KO/TKO,1,2009-03-01,Marcos Galvao,Damacio Page,1.818,2.937,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1008.0,150.0,1010.0
loss,Brian Bowles,KO/TKO,2,2007-12-12,Marcos Galvao,Brian Bowles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,-30.0,1000.0
loss,Johnny Eduardo,KO/TKO,2,2016-11-19,Manvel Gamburyan,Johnny Eduardo,2.153,2.65,2.474,0.4,0.1,0.3,1.0,20.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1110.0,1000.0
loss,John Dodson,KO/TKO,1,2016-04-16,Manvel Gamburyan,John Dodson,2.15,2.576,2.611,0.6,0.1,0.3,1.0,21.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,1000.0,70.0,1000.0
win,Manvel Gamburyan,DEC,3,2015-07-15,Manvel Gamburyan,Scott Jorgensen,2.095,2.591,2.471,0.6,0.111,0.333,1.0,22.824,0.6,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1016.0,1012.385449324,1150.0,1050.0
win,Manvel Gamburyan,SUB,2,2014-09-27,Manvel Gamburyan,Cody Gibson,2.154,2.452,2.5,0.4,0.125,0.25,1.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968.0,1000.0,-110.0,1000.0
loss,Nik Lentz,DEC,3,2014-05-10,Manvel Gamburyan,Nik Lentz,2.182,2.352,2.6,0.4,0.125,0.25,1.0,19.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,1000.0,880.0,1000.0
nc,Draw,other,3,2013-12-28,Manvel Gamburyan,Dennis Siver,2.318,2.216,2.571,0.4,0.125,0.25,1.0,21.143,0.0,16.667,0.0,0.0,0.0,0.0,1.0,0.0,1012.385449324,1008.0,1030.0,1100.0
win,Manvel Gamburyan,DEC,3,2013-08-17,Manvel Gamburyan,Cole Miller,2.414,2.226,2.385,0.4,0.143,0.286,1.0,22.769,2.081,2.349,1.0,1.0,0.0,0.5,1.0,0.0,1008.0,1008.0,1210.0,1010.0
win,Manvel Gamburyan,DEC,3,2012-08-04,Manvel Gamburyan,Michihiro Omigawa,2.267,2.155,2.083,0.4,0.167,0.333,1.0,24.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Diego Nunes,DEC,3,2011-12-30,Manvel Gamburyan,Diego Nunes,2.429,2.051,2.091,0.6,0.167,0.333,1.0,7.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.0,1000.0,-100.0,1000.0
loss,Tyson Griffin,DEC,3,2011-06-26,Manvel Gamburyan,Tyson Griffin,2.486,1.584,2.1,0.8,0.167,0.333,1.0,8.4,3.299,2.552,1.0,0.5,0.0,0.0,1.0,235.5,1000.0,1000.0,-90.0,1000.0
loss,Jose Aldo,KO/TKO,2,2010-09-30,Manvel Gamburyan,Jose Aldo,2.602,1.378,2.333,0.8,0.167,0.333,1.0,9.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.0,977.0,-210.0,820.0
win,Manvel Gamburyan,KO/TKO,1,2010-04-24,Manvel Gamburyan,Mike Brown,2.532,1.353,2.625,0.6,0.0,0.4,1.0,10.5,8.718,0.0,0.0,1.0,0.0,1.0,1.0,0.0,984.0,1000.0,760.0,1000.0
win,Manvel Gamburyan,DEC,3,2009-11-18,Manvel Gamburyan,Leonard Garcia,2.685,1.523,1.167,0.6,0.0,0.667,1.0,14.0,1.74,3.35,0.0,0.6,0.5,0.25,1.0,0.0,1008.0,1000.0,850.0,1000.0
win,Manvel Gamburyan,DEC,3,2009-06-07,Manvel Gamburyan,John Franchi,2.022,1.517,0.8,0.4,0.0,1.0,1.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.936,1000.0,1030.0,1000.0
loss,Thiago Tavares,DEC,3,2009-01-31,Manvel Gamburyan,Thiago Tavares,2.519,1.031,0.75,0.5,0.0,1.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,1000.0,-200.0,1000.0
loss,Rob Emerson,KO/TKO,1,2008-08-09,Manvel Gamburyan,Rob Emerson,2.578,0.703,1.0,0.667,0.0,1.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1000.0,950.0,1000.0
win,Manvel Gamburyan,SUB,1,2008-04-02,Manvel Gamburyan,Jeff Cox,2.774,0.584,1.0,0.5,0.0,1.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
win,Manvel Gamburyan,SUB,1,2007-12-29,Manvel Gamburyan,Nate Mohr,3.0,0.375,1.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,860.0,1000.0
loss,Nate Diaz,SUB,2,2007-06-23,Manvel Gamburyan,Nate Diaz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,1.221,2.0,1.0,0.0,1.0,1.0,0.0,1014.0,1000.0,-100.0,1000.0
win,Mateusz Gamrot,SUB,2,2026-04-11,Mateusz Gamrot,Esteban Ribovics,3.294,2.957,4.167,0.6,0.375,0.125,1.0,17.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0
loss,Charles Oliveira,SUB,2,2025-10-11,Mateusz Gamrot,Charles Oliveira,3.349,3.045,4.455,0.8,0.375,0.125,1.0,0.0,4.298,2.81,0.667,1.0,0.333,0.667,1.0,2.667,1008.0,1000.0,880.0,1000.0
